"ICD-10-AM Code","ICD-10-AM Code Descriptor","ICD-10 Map","Field4"
"C92.91","Myeloid leukaemia, unspecified, in remission","C92.9",
"C93.00","Acute monocytic leukaemia, without mention of remission","C93.0",
"C93.01","Acute monocytic leukaemia, in remission","C93.0",
"C93.10","Chronic monocytic leukaemia, without mention of remission","C93.1",
"C93.11","Chronic monocytic leukaemia, in remission","C93.1",
"C93.20","Subacute monocytic leukaemia, without mention of remission","C93.2",
"C93.21","Subacute monocytic leukaemia, in remission","C93.2",
"C93.70","Other monocytic leukaemia, without mention of remission","C93.7",
"C93.71","Other monocytic leukaemia, in remission","C93.7",
"C93.90","Monocytic leukaemia, unspecified, without mention of remission","C93.9",
"C93.91","Monocytic leukaemia, unspecified, in remission","C93.9",
"C94.00","Acute erythraemia and erythroleukaemia, without mention of remission","C94.0",
"C94.01","Acute erythraemia and erythroleukaemia, in remission","C94.0",
"C94.10","Chronic erythraemia, without mention of remission","C94.1",
"C94.11","Chronic erythraemia, in remission","C94.1",
"C94.20","Acute megakaryoblastic leukaemia, without mention of remission","C94.2",
"C94.21","Acute megakaryoblastic leukaemia, in remission","C94.2",
"C94.30","Mast cell leukaemia, without mention of remission","C94.3",
"C94.31","Mast cell leukaemia, in remission","C94.3",
"C94.40","Acute panmyelosis, without mention of remission","C94.5",
"C94.41","Acute panmyelosis, in remission","C94.4",
"C94.50","Acute myelofibrosis, without mention of remission","C94.5",
"C94.51","Acute myelofibrosis, in remission","C94.5",
"C94.70","Other specified leukaemias, without mention of remission","C94.7",
"C94.71","Other specified leukaemias, in remission","C94.7",
"C95.00","Acute leukaemia of unspecified cell type, without mention of remission","C95.0",
"C95.01","Acute leukaemia of unspecified cell type, in remission","C95.0",
"C95.10","Chronic leukaemia of unspecified cell type, without mention of remission","C95.1",
"C95.11","Chronic leukaemia of unspecified cell type, in remission","C95.1",
"C95.20","Subacute leukaemia of unspecified cell type, without mention of remission","C95.2",
"C95.21","Subacute leukaemia of unspecified cell type, in remission","C95.2",
"C95.70","Other leukaemia of unspecified cell type, without mention of remission","C95.7",
"C95.71","Other leukaemia of unspecified cell type, in remission","C95.7",
"C95.90","Leukaemia, unspecified, without mention of remission","C95.9",
"C95.91","Leukaemia, unspecified, in remission","C95.9",
"D16.41","Benign neoplasm of craniofacial bones","D16.4",
"D16.42","Benign neoplasm of maxillofacial bones","D16.4",
"D18.00","Haemangioma, unspecified site","D18.0",
"D18.01","Haemangioma, skin and subcutaneous tissue","D18.0",
"D18.02","Haemangioma, intracranial structures","D18.0",
"D18.03","Haemangioma, structures of the hepatobiliary system and pancreas","D18.0",
"D18.04","Haemangioma, structures of the digestive system","D18.0",
"D18.05","Haemangioma, structures of the ear, nose, mouth and throat","D18.0",
"D18.08","Haemangioma, other sites","D18.0",
"E09","Impaired glucose regulation","R73.0",
"E09.21","Impaired glucose regulation with incipient nephropathy","R73.0",
"E09.29","Impaired glucose regulation with other specified kidney complication","R73.0",
"E09.31","Impaired glucose regulation with background retinopathy","R73.0",
"E09.32","Impaired glucose regulation with preproliferative retinopathy","R73.0",
"E09.40","Impaired glucose regulation with unspecified neuropathy","R73.0",
"E09.42","Impaired glucose regulation with polyneuropathy","R73.0",
"E09.51","Impaired glucose regulation with peripheral angiopathy, without gangrene","R73.0",
"E09.52","Impaired glucose regulation with peripheral angiopathy, with gangrene","R73.0",
"E09.71","Impaired glucose regulation with multiple microvascular complications","R73.0",
"E09.72","Impaired glucose regulation with features of insulin resistance","R73.0",
"E09.8","Impaired glucose regulation with unspecified complication","R73.0",
"E09.9","Impaired glucose regulation without complication","R73.0",
"E10.01","Type 1 diabetes mellitus with hyperosmolarity without nonketotic hyperglycaemic-hyperosmolar coma (NKHHC)","E10.0",
"E10.02","Type 1 diabetes mellitus with hyperosmolarity with coma","E10.0",
"E10.11","Type 1 diabetes mellitus with ketoacidosis, without coma","E10.1",
"E10.12","Type 1 diabetes mellitus with ketoacidosis, with coma","E10.1",
"E10.13","Type 1 diabetes mellitus with lactic acidosis, without coma","E10.1",
"E10.14","Type 1 diabetes mellitus with lactic acidosis, with coma","E10.1",
"E10.15","Type 1 diabetes mellitus with ketoacidosis, with lactic acidosis, without coma","E10.1",
"E10.16","Type 1 diabetes mellitus with ketoacidosis, with lactic acidosis, with coma","E10.1",
"E10.21","Type 1 diabetes mellitus with incipient diabetic nephropathy","E10.2",
"E10.22","Type 1 diabetes mellitus with established diabetic nephropathy","E10.2",
"E10.29","Type 1 diabetes mellitus with other specified renal complication","E10.2",
"E10.31","Type 1 diabetes mellitus with background retinopathy","E10.3",
"E10.32","Type 1 diabetes mellitus with preproliferative retinopathy","E10.3",
"E10.33","Type 1 diabetes mellitus with proliferative retinopathy","E10.3",
"E10.34","Type 1 diabetes mellitus with other retinopathy","E10.3",
"E10.35","Type 1 diabetes mellitus with advanced ophthalmic disease","E10.3",
"E10.36","Type 1 diabetes mellitus with diabetic cataract","E10.3",
"E10.39","Type 1 diabetes mellitus with other specified ophthalmic complication","E10.3",
"E10.40","Type 1 diabetes mellitus with unspecified neuropathy","E10.4",
"E10.41","Type 1 diabetes mellitus with diabetic mononeuropathy","E10.4",
"E10.42","Type 1 diabetes mellitus with diabetic polyneuropathy","E10.4",
"E10.43","Type 1 diabetes mellitus with diabetic autonomic neuropathy","E10.4",
"E10.49","Type 1 diabetes mellitus with other specified neurological complication","E10.4",
"E10.51","Type 1 diabetes mellitus with peripheral angiopathy, without gangrene","E10.5",
"E10.52","Type 1 diabetes mellitus with peripheral angiopathy, with gangrene","E10.5",
"E10.53","Type 1 diabetes mellitus with diabetic ischaemic cardiomyopathy","E10.5",
"E10.61","Type 1 diabetes mellitus with specified diabetic musculoskeletal and connective tissue complication","E10.6",
"E10.62","Type 1 diabetes mellitus with specified skin and subcutaneous tissue complication","E10.6",
"E10.63","Type 1 diabetes mellitus with specified periodontal complication","E10.6",
"E10.64","Type 1 diabetes mellitus with hypoglycaemia","E10.6",
"E10.65","Type 1 diabetes mellitus with poor control","E10.6",
"E10.69","Type 1 diabetes mellitus with other specified complication","E10.6",
"E10.71","Type 1 diabetes mellitus with multiple microvascular complications","E10.7",
"E10.73","Type 1 diabetes mellitus with foot ulcer due to multiple causes","E10.7",
"E11.01","Type 2 diabetes mellitus with hyperosmolarity without nonketotic hyperglycaemic-hyperosmolar coma [NKHHC]","E11.0",
"E11.02","Type 2 diabetes mellitus with hyperosmolarity with coma","E11.0",
"E11.11","Type 2 diabetes mellitus with ketoacidosis, without coma","E11.1",
"E11.12","Type 2 diabetes mellitus with ketoacidosis, with coma","E11.1",
"E11.13","Type 2 diabetes mellitus with lactic acidosis, without coma","E11.1",
"E11.14","Type 2 diabetes mellitus with lactic acidosis, with coma","E11.1",
"E11.15","Type 2 diabetes mellitus with ketoacidosis, with lactic acidosis, without coma","E11.1",
"E11.16","Type 2 diabetes mellitus with ketoacidosis, with lactic acidosis, with coma","E11.1",
"E11.21","Type 2 diabetes mellitus with incipient diabetic nephropathy","E11.2",
"E11.22","Type 2 diabetes mellitus with established diabetic nephropathy","E11.2",
"E11.29","Type 2 diabetes mellitus with other specified renal complication","E11.2",
"E11.31","Type 2 diabetes mellitus with background retinopathy","E11.3",
"E11.32","Type 2 diabetes mellitus with preproliferative retinopathy","E11.3",
"E11.33","Type 2 diabetes mellitus with proliferative retinopathy","E11.3",
"E11.34","Type 2 diabetes mellitus with other retinopathy","E11.3",
"E11.35","Type 2 diabetes mellitus with advanced ophthalmic disease","E11.3",
"E11.36","Type 2 diabetes mellitus with diabetic cataract","E11.3",
"E11.39","Type 2 diabetes mellitus with other specified ophthalmic complication","E11.3",
"E11.40","Type 2 diabetes mellitus with unspecified neuropathy","E11.4",
"E11.41","Type 2 diabetes mellitus with diabetic mononeuropathy","E11.4",
"E11.42","Type 2 diabetes mellitus with diabetic polyneuropathy","E11.4",
"E11.43","Type 2 diabetes mellitus with diabetic autonomic neuropathy","E11.4",
"E11.49","Type 2 diabetes mellitus with other specified neurological complication","E11.4",
"E11.51","Type 2 diabetes mellitus with peripheral angiopathy without gangrene","E11.5",
"E11.52","Type 2 diabetes mellitus with peripheral angiopathy with gangrene","E11.5",
"E11.53","Type 2 diabetes mellitus with diabetic ischaemic cardiomyopathy","E11.5",
"E11.61","Type 2 diabetes mellitus with specified diabetic musculoskeletal and connective tissue complication","E11.6",
"E11.62","Type 2 diabetes mellitus with specified skin and subcutaneous tissue complication","E11.6",
"E11.63","Type 2 diabetes mellitus with specified periodontal complication","E11.6",
"E11.64","Type 2 diabetes mellitus with hypoglycaemia","E11.6",
"E11.65","Type 2 diabetes mellitus with poor control","E11.6",
"E11.69","Type 2 diabetes mellitus with other specified complication","E11.6",
"E11.71","Type 2 diabetes mellitus with multiple microvascular complications","E11.7",
"E11.72","Type 2 diabetes mellitus with features of insulin resistance","E11.7",
"E11.73","Type 2 diabetes mellitus with foot ulcer due to multiple causes","E11.7",
"E13.01","Other specified diabetes mellitus with hyperosmolarity, without nonketotic hyperglycaemic-hyperosmolar coma [NKHHC]","E13.0",
"E13.02","Other specified diabetes mellitus with hyperosmolarity, with coma","E13.0",
"E13.11","Other specified diabetes mellitus with ketoacidosis, without coma","E13.1",
"E13.12","Other specified diabetes mellitus with ketoacidosis, with coma","E13.1",
"E13.13","Other specified diabetes mellitus with lactic acidosis, without coma","E13.1",
"E13.14","Other specified diabetes mellitus with lactic acidosis, with coma","E13.1",
"E13.15","Other specified diabetes mellitus with ketoacidosis, with lactic acidosis, without coma","E13.1",
"E13.16","Other specified diabetes mellitus with ketoacidosis, with lactic acidosis, with coma","E13.1",
"E13.21","Other specified diabetes mellitus with incipient diabetic nephropathy","E13.2",
"E13.22","Other specified diabetes mellitus with established diabetic nephropathy","E13.2",
"E13.29","Other specified diabetes mellitus with other specified renal complication","E13.2",
"E13.31","Other specified diabetes mellitus with background retinopathy","E13.3",
"E13.32","Other specified diabetes mellitus with preproliferative retinopathy","E13.3",
"E13.33","Other specified diabetes mellitus with proliferative retinopathy","E13.3",
"E13.34","Other specified diabetes mellitus with other retinopathy","E13.3",
"E13.35","Other specified diabetes mellitus with advanced ophthalmic disease","E13.3",
"E13.36","Other specified diabetes mellitus with diabetic cataract","E13.3",
"E13.39","Other specified diabetes mellitus with other specified ophthalmic complication","E13.3",
"E13.40","Other specified diabetes mellitus with unspecified neuropathy","E13.4",
"E13.41","Other specified diabetes mellitus with diabetic mononeuropathy","E13.4",
"E13.42","Other specified diabetes mellitus with diabetic polyneuropathy","E13.4",
"E13.43","Other specified diabetes mellitus with diabetic autonomic neuropathy","E13.4",
"E13.49","Other specified diabetes mellitus with other specified neurological complication","E13.4",
"E13.51","Other specified diabetes mellitus with peripheral angiopathy without gangrene","E13.5",
"E13.52","Other specified diabetes mellitus with peripheral angiopathy with gangrene","E13.5",
"E13.53","Other specified diabetes mellitus with diabetic ischaemic cardiomyopathy","E13.5",
"E13.61","Other specified diabetes mellitus with specified diabetic musculoskeletal and connective tissue complication","E13.6",
"E13.62","Other specified diabetes mellitus with specified skin and subcutaneous tissue complication","E13.6",
"E13.63","Other specified diabetes mellitus with specified periodontal complication","E13.6",
"E13.64","Other specified diabetes mellitus with hypoglycaemia","E13.6",
"E13.65","Other specified diabetes mellitus with poor control","E13.6",
"E13.69","Other specified diabetes mellitus with other specified complication","E13.6",
"E13.71","Other specified diabetes mellitus with multiple microvascular complications","E13.7",
"E13.72","Other specified diabetes mellitus with features of insulin resistance","E13.7",
"E13.73","Other specified diabetes mellitus with foot ulcer due to multiple causes","E13.7",
"E14.01","Unspecified diabetes mellitus with hyperosmolarity, without nonketotic hyperglycaemic-hyperosmolar coma [NKHHC]","E14.0",
"E14.02","Unspecified diabetes mellitus with hyperosmolarity, with coma","E14.0",
"E14.11","Unspecified diabetes mellitus with ketoacidosis, without coma","E14.1",
"E14.12","Unspecified diabetes mellitus with ketoacidosis, with coma","E14.1",
"E14.13","Unspecified diabetes mellitus with lactic acidosis, without coma","E14.1",
"E14.14","Unspecified diabetes mellitus with lactic acidosis, with coma","E14.1",
"E14.15","Unspecified diabetes mellitus with ketoacidosis, with lactic acidosis, without coma","E14.1",
"E14.16","Unspecified diabetes mellitus with ketoacidosis, with lactic acidosis, with coma","E14.1",
"E14.21","Unspecified diabetes mellitus with incipient diabetic nephropathy","E14.2",
"E14.22","Unspecified diabetes mellitus with established diabetic nephropathy","E14.2",
"E14.29","Unspecified diabetes mellitus with other specified renal complication","E14.2",
"E14.31","Unspecified diabetes mellitus with background retinopathy","E14.3",
"E14.32","Unspecified diabetes mellitus with preproliferative retinopathy","E14.3",
"E14.33","Unspecified diabetes mellitus with proliferative retinopathy","E14.3",
"E14.34","Unspecified diabetes mellitus with other retinopathy","E14.3",
"E14.35","Unspecified diabetes mellitus with advanced ophthalmic disease","E14.3",
"E14.36","Unspecified diabetes mellitus with diabetic cataract","E14.3",
"E14.39","Unspecified diabetes mellitus with other specified ophthalmic complication","E14.3",
"E14.40","Unspecified diabetes mellitus with unspecified neuropathy","E14.4",
"E14.41","Unspecified diabetes mellitus with diabetic mononeuropathy","E14.4",
"E14.42","Unspecified diabetes mellitus with diabetic polyneuropathy","E14.4",
"E14.43","Unspecified diabetes mellitus with diabetic autonomic neuropathy","E14.4",
"E14.49","Unspecified diabetes mellitus with other specified neurological complication","E14.4",
"E14.51","Unspecified diabetes mellitus with peripheral angiopathy without gangrene","E14.5",
"E14.52","Unspecified diabetes mellitus with peripheral angiopathy with gangrene","E14.5",
"E14.53","Unspecified diabetes mellitus with diabetic ischaemic cardiomyopathy","E14.5",
"E14.61","Unspecified diabetes mellitus with specified diabetic musculoskeletal and connective tissue complication","E14.6",
"E14.62","Unspecified diabetes mellitus with specified skin and subcutaneous tissue complication","E14.6",
"E14.63","Unspecified diabetes mellitus with specified periodontal complication","E14.6",
"E14.64","Unspecified diabetes mellitus with hypoglycaemia","E14.6",
"E14.65","Unspecified diabetes mellitus with poor control","E14.6",
"E14.69","Unspecified diabetes mellitus with other specified complication","E14.6",
"E14.71","Unspecified diabetes mellitus with multiple microvascular complications","E14.7",
"E14.72","Unspecified diabetes mellitus with features of insulin resistance","E14.7",
"E14.73","Unspecified diabetes mellitus with foot ulcer due to multiple causes","E14.7",
"F04.0","Post traumatic amnesia","F04",
"F04.00","Post traumatic amnesia, unspecified","F04",
"F04.01","Post traumatic amnesia, duration < 24 hours","F04",
"F04.02","Post traumatic amnesia, duration >= 24 hours and < 14 days","F04",
"F04.03","Post traumatic amnesia, duration >= 14 days","F04",
"F04.9","Amnesic syndrome, unspecified","F04",
"F06.30","Organic mood [affective] disorder, unspecified","F06.3",
"F06.31","Organic manic disorder","F06.3",
"F06.32","Organic bipolar disorder","F06.3",
"F06.33","Organic depressive disorder","F06.3",
"F06.34","Organic mixed affective disorder","F06.3",
"F06.39","Other organic mood [affective] disorder","F06.3",
"F15.00","Mental and behavioural disorders due to use of other stimulants, including caffeine, acute intoxication, unspecified stimulants","F15.0",
"F15.01","Mental and behavioural disorders due to use of other stimulants, including caffeine, acute intoxication, methylamphetamine","F15.0",
"F15.09","Mental and behavioural disorders due to use of other stimulants, including caffeine, acute intoxication, other specified stimulants","F15.0",
"F15.10","Mental and behavioural disorders due to use of other stimulants, including caffeine, harmful use, unspecified stimulants","F15.1",
"F15.11","Mental and behavioural disorders due to use of other stimulants, including caffeine, harmful use, methylamphetamine","F15.1",
"F15.19","Mental and behavioural disorders due to use of other stimulants, including caffeine, harmful use, other specified stimulants","F15.1",
"F15.20","Mental and behavioural disorders due to use of other stimulants, including caffeine, dependence syndrome, unspecified stimulants","F15.2",
"F15.21","Mental and behavioural disorders due to use of other stimulants, including caffeine, dependence syndrome, methylamphetamine","F15.2",
"F15.29","Mental and behavioural disorders due to use of other stimulants, including caffeine, dependence syndrome, other specified stimulants","F15.2",
"F15.30","Mental and behavioural disorders due to use of other stimulants, including caffeine, withdrawal state, unspecified stimulants","F15.3",
"F15.31","Mental and behavioural disorders due to use of other stimulants, including caffeine, withdrawal state, methylamphetamine","F15.3",
"F15.39","Mental and behavioural disorders due to use of other stimulants, including caffeine, withdrawal state, other specified stimulants","F15.3",
"F15.40","Mental and behavioural disorders due to use of other stimulants, including caffeine, withdrawal state with delirium, unspecified stimulants","F15.4",
"F15.41","Mental and behavioural disorders due to use of other stimulants, including caffeine, withdrawal state with delirium, methylamphetamine","F15.4",
"F15.49","Mental and behavioural disorders due to use of other stimulants, including caffeine, withdrawal state with delirium, other specified stimulants","F15.4",
"F15.50","Mental and behavioural disorders due to use of other stimulants, including caffeine, psychotic disorder, unspecified stimulants","F15.5",
"F15.51","Mental and behavioural disorders due to use of other stimulants, including caffeine, psychotic disorder, methylamphetamine","F15.5",
"F15.59","Mental and behavioural disorders due to use of other stimulants, including caffeine, psychotic disorder, other specified stimulants","F15.5",
"F15.60","Mental and behavioural disorders due to use of other stimulants, including caffeine, amnesic syndrome, unspecified stimulants","F15.6",
"F15.61","Mental and behavioural disorders due to use of other stimulants, including caffeine, amnesic syndrome, methylamphetamine","F15.6",
"F15.69","Mental and behavioural disorders due to use of other stimulants, including caffeine, amnesic syndrome, other specified stimulants","F15.6",
"F15.70","Mental and behavioural disorders due to use of other stimulants, including caffeine, residual and late-onset psychotic disorder, unspecified stimulants","F15.7",
"F15.71","Mental and behavioural disorders due to use of other stimulants, including caffeine, residual and late-onset psychotic disorder, methylamphetamine","F15.7",
"F15.79","Mental and behavioural disorders due to use of other stimulants, including caffeine, residual and late-onset psychotic disorder, other specified stimulants","F15.7",
"F15.80","Mental and behavioural disorders due to use of other stimulants, including caffeine, other mental and behavioural disorders, unspecified stimulants","F15.8",
"F15.81","Mental and behavioural disorders due to use of other stimulants, including caffeine, other mental and behavioural disorders, methylamphetamine","F15.8",
"F15.89","Mental and behavioural disorders due to use of other stimulants, including caffeine, other mental and behavioural disorders, other specified stimulants","F15.8",
"F15.90","Mental and behavioural disorders due to use of other stimulants, including caffeine, unspecified mental and behavioural disorder, unspecified stimulants","F15.9",
"F15.91","Mental and behavioural disorders due to use of other stimulants, including caffeine, unspecified mental and behavioural disorder, methylamphetamine","F15.9",
"F15.99","Mental and behavioural disorders due to use of other stimulants, including caffeine, unspecified mental and behavioural disorder, other specified stimulants","F15.9",
"F23.00","Acute polymorphic psychotic disorder without symptoms of schizophrenia, without mention of associated acute stress","F23.0",
"F23.01","Acute polymorphic psychotic disorder without symptoms of schizophrenia, with mention of associated acute stress","F23.0",
"F23.10","Acute polymorphic psychotic disorder with symptoms of schizophrenia without mention of associated acute stress","F23.1",
"F23.11","Acute polymorphic psychotic disorder with symptoms of schizophrenia with mention of associated acute stress","F23.1",
"F23.20","Acute schizophrenia-like psychotic disorder without mention of associated acute stress","F23.2",
"F23.21","Acute schizophrenia-like psychotic disorder with mention of associated acute stress","F23.2",
"F23.30","Other acute predominately delusional psychotic disorders without mention of associated acute stress","F23.3",
"F23.31","Other acute predominately delusional psychotic disorders with mention of associated acute stress","F23.3",
"F23.80","Other acute and transient psychotic disorders without mention of associated acute stress","F23.8",
"F23.81","Other acute and transient psychotic disorders with mention of associated acute stress","F23.8",
"F23.90","Acute and transient psychotic disorder, unspecified, without mention of associated acute stress","F23.9",
"F23.91","Acute and transient psychotic disorder, unspecified, with mention of associated acute stress","F23.9",
"F32.00","Mild depressive episode, not specified as arising in the postnatal period","F32.0",
"F32.01","Mild depressive episode, arising in the postnatal period","F32.0",
"F32.10","Moderate depressive episode, not specified as arising in the postnatal period","F32.1",
"F32.11","Moderate depressive episode, arising in the postnatal period","F32.1",
"F32.20","Severe depressive episode without psychotic symptoms, not specified as arising in the postnatal period","F32.2",
"F32.21","Severe depressive episode without psychotic symptoms, arising in the postnatal period","F32.2",
"F32.30","Severe depressive episode with psychotic symptoms, not specified as arising in the postnatal period","F32.3",
"F32.31","Severe depressive episode with psychotic symptoms, arising in the postnatal period","F32.3",
"F32.80","Other depressive episodes, not specified as arising in the postnatal period","F32.8",
"F32.81","Other depressive episodes, arising in the postnatal period","F32.8",
"F32.90","Depressive episode, unspecified, not specified as arising in the postnatal period","F32.9",
"F32.91","Depressive episode, unspecified, arising in the postnatal period","F32.9",
"F40.00","Agoraphobia without mention of panic disorder","F40.0",
"F40.01","Agoraphobia with panic disorder","F40.0",
"F44.80","Ganser's syndrome","F44.8",
"F44.81","Multiple personality disorder","F44.8",
"F44.82","Transient dissociate [conversion] disorders occurring in childhood and adolescence","F44.8",
"F44.88","Other specified dissociative [conversion] disorders","F44.8",
"F45.30","Somatoform autonomic dysfunction, unspecified organ or system","F45.3",
"F45.31","Somatoform autonomic dysfunction, heart and cardiovascular system","F45.3",
"F45.32","Somatoform autonomic dysfunction, upper gastrointestinal tract","F45.3",
"F45.33","Somatoform autonomic dysfunction, lower gastrointestinal tract","F45.3",
"F45.34","Somatoform autonomic dysfunction, respiratory system","F45.3",
"F45.35","Somatoform autonomic dysfunction, genitourinary system","F45.3",
"F45.38","Somatoform autonomic dysfunction, other specified organ or system","F45.3",
"F45.39","Somatoform autonomic dysfunction, multiple organs or systems","F45.3",
"F55.0","Harmful use of nondependence-producing substance, antidepressants","F55",
"F55.1","Harmful use of nondependence-producing substance, laxatives","F55",
"F55.2","Harmful use of nondependence-producing substance, analgesics","F55",
"F55.3","Harmful use of nondependence-producing substance, antacids","F55",
"F55.4","Harmful use of nondependence-producing substance, vitamins","F55",
"F55.5","Harmful use of nondependence-producing substance, steroids or hormones","F55",
"F55.6","Harmful use of nondependence-producing substance, specific herbal or folk remedies","F55",
"F55.8","Other substances that do not produce dependence","F55",
"F55.9","Unspecified harmful use of non-dependence producing substance","F55",
"F60.30","Emotionally unstable personality disorder, impulsive type","F60.3",
"F60.31","Emotionally unstable personality disorder, borderline type","F60.3",
"G31.3","Lewy body disease","G31.8",
"G40.00","Localisation-related (focal)(partial) idiopathic epilepsy and epileptic syndromes with seizures of localised onset, without mention of intractable epilepsy","G40.0",
"G40.01","Localisation-related (focal)(partial) idiopathic epilepsy and epileptic syndromes with seizures of localised onset, with intractable epilepsy","G40.0",
"G40.10","Localisation-related (focal)(partial) symptomatic epilepsy and epileptic syndromes with simple partial seizures, without mention of intractable epilepsy","G40.1",
"G40.11","Localisation-related (focal)(partial) symptomatic epilepsy and epileptic syndromes with simple partial seizures, with intractable epilepsy","G40.1",
"G40.20","Localisation-related (focal)(partial) symptomatic epilepsy and epileptic syndromes with complex partial seizures, without mention of intractable epilepsy","G40.2",
"G40.21","Localisation-related (focal)(partial) symptomatic epilepsy and epileptic syndromes with complex partial seizures, with intractable epilepsy","G40.2",
"G40.30","Generalised idiopathic epilepsy and epileptic syndromes, without mention of intractable epilepsy","G40.3",
"G40.31","Generalised idiopathic epilepsy and epileptic syndromes, with intractable epilepsy","G40.3",
"G40.40","Other generalised epilepsy and epileptic syndromes, without mention of intractable epilepsy","G40.4",
"G40.41","Other generalised epilepsy and epileptic syndromes, with intractable epilepsy","G40.4",
"G40.50","Special epileptic syndromes, without mention of intractable epilepsy","G40.5",
"G40.51","Special epileptic syndromes, with intractable epilepsy","G40.5",
"G40.60","Grand mal seizures, unspecified (with or without petit mal), without mention of intractable epilepsy","G40.6",
"G40.61","Grand mal seizures, unspecified (with or without petit mal), with intractable epilepsy","G40.6",
